Archivo,Elemento,Ecut,KPoints,Pseudopotencial
Mg_ecut10_k111_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,1 1 1,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k111_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,10,1 1 1,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k111_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,10,1 1 1,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k111_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,10,1 1 1,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k222_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,2 2 2,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k222_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,10,2 2 2,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k222_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,10,2 2 2,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k222_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,10,2 2 2,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k333_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,3 3 3,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k333_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,10,3 3 3,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k333_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,10,3 3 3,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k333_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,10,3 3 3,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k444_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,4 4 4,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k444_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,10,4 4 4,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k444_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,10,4 4 4,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k444_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,10,4 4 4,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k555_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,5 5 5,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k555_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,10,5 5 5,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k555_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,10,5 5 5,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k555_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,10,5 5 5,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k666_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,6 6 6,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k666_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,10,6 6 6,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k666_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,10,6 6 6,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k666_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,10,6 6 6,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k777_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,7 7 7,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k777_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,10,7 7 7,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k777_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,10,7 7 7,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k777_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,10,7 7 7,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k888_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,8 8 8,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k888_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,10,8 8 8,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k888_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,10,8 8 8,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut10_k888_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,10,8 8 8,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut10_k999_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,10,9 9 9,Mg.pbesol-spnl-kjpaw_psl.1.0.0
