Archivo,Elemento,Ecut,KPoints,Pseudopotencial
Si_ecut10_k111_Si.bhs.in,Si,10,1 1 1,Si.bhs
Si_ecut10_k111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,1 1 1,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k111_Si.rel-pbe-rrkj.in,Si,10,1 1 1,Si.rel-pbe-rrkj
Si_ecut10_k222_Si.bhs.in,Si,10,2 2 2,Si.bhs
Si_ecut10_k222_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,2 2 2,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k222_Si.rel-pbe-rrkj.in,Si,10,2 2 2,Si.rel-pbe-rrkj
Si_ecut10_k333_Si.bhs.in,Si,10,3 3 3,Si.bhs
Si_ecut10_k333_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,3 3 3,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k333_Si.rel-pbe-rrkj.in,Si,10,3 3 3,Si.rel-pbe-rrkj
Si_ecut10_k444_Si.bhs.in,Si,10,4 4 4,Si.bhs
Si_ecut10_k444_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,4 4 4,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k444_Si.rel-pbe-rrkj.in,Si,10,4 4 4,Si.rel-pbe-rrkj
Si_ecut10_k555_Si.bhs.in,Si,10,5 5 5,Si.bhs
Si_ecut10_k555_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,5 5 5,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k555_Si.rel-pbe-rrkj.in,Si,10,5 5 5,Si.rel-pbe-rrkj
Si_ecut10_k666_Si.bhs.in,Si,10,6 6 6,Si.bhs
Si_ecut10_k666_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,6 6 6,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k666_Si.rel-pbe-rrkj.in,Si,10,6 6 6,Si.rel-pbe-rrkj
Si_ecut10_k777_Si.bhs.in,Si,10,7 7 7,Si.bhs
Si_ecut10_k777_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,7 7 7,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k777_Si.rel-pbe-rrkj.in,Si,10,7 7 7,Si.rel-pbe-rrkj
Si_ecut10_k888_Si.bhs.in,Si,10,8 8 8,Si.bhs
Si_ecut10_k888_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,8 8 8,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k888_Si.rel-pbe-rrkj.in,Si,10,8 8 8,Si.rel-pbe-rrkj
Si_ecut10_k999_Si.bhs.in,Si,10,9 9 9,Si.bhs
Si_ecut10_k999_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,9 9 9,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k999_Si.rel-pbe-rrkj.in,Si,10,9 9 9,Si.rel-pbe-rrkj
Si_ecut10_k101010_Si.bhs.in,Si,10,10 10 10,Si.bhs
Si_ecut10_k101010_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,10 10 10,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k101010_Si.rel-pbe-rrkj.in,Si,10,10 10 10,Si.rel-pbe-rrkj
Si_ecut10_k111111_Si.bhs.in,Si,10,11 11 11,Si.bhs
Si_ecut10_k111111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,11 11 11,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k111111_Si.rel-pbe-rrkj.in,Si,10,11 11 11,Si.rel-pbe-rrkj
Si_ecut10_k121212_Si.bhs.in,Si,10,12 12 12,Si.bhs
Si_ecut10_k121212_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,10,12 12 12,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut10_k121212_Si.rel-pbe-rrkj.in,Si,10,12 12 12,Si.rel-pbe-rrkj
Si_ecut15_k111_Si.bhs.in,Si,15,1 1 1,Si.bhs
Si_ecut15_k111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,1 1 1,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k111_Si.rel-pbe-rrkj.in,Si,15,1 1 1,Si.rel-pbe-rrkj
Si_ecut15_k222_Si.bhs.in,Si,15,2 2 2,Si.bhs
Si_ecut15_k222_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,2 2 2,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k222_Si.rel-pbe-rrkj.in,Si,15,2 2 2,Si.rel-pbe-rrkj
Si_ecut15_k333_Si.bhs.in,Si,15,3 3 3,Si.bhs
Si_ecut15_k333_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,3 3 3,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k333_Si.rel-pbe-rrkj.in,Si,15,3 3 3,Si.rel-pbe-rrkj
Si_ecut15_k444_Si.bhs.in,Si,15,4 4 4,Si.bhs
Si_ecut15_k444_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,4 4 4,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k444_Si.rel-pbe-rrkj.in,Si,15,4 4 4,Si.rel-pbe-rrkj
Si_ecut15_k555_Si.bhs.in,Si,15,5 5 5,Si.bhs
Si_ecut15_k555_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,5 5 5,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k555_Si.rel-pbe-rrkj.in,Si,15,5 5 5,Si.rel-pbe-rrkj
Si_ecut15_k666_Si.bhs.in,Si,15,6 6 6,Si.bhs
Si_ecut15_k666_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,6 6 6,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k666_Si.rel-pbe-rrkj.in,Si,15,6 6 6,Si.rel-pbe-rrkj
Si_ecut15_k777_Si.bhs.in,Si,15,7 7 7,Si.bhs
Si_ecut15_k777_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,7 7 7,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k777_Si.rel-pbe-rrkj.in,Si,15,7 7 7,Si.rel-pbe-rrkj
Si_ecut15_k888_Si.bhs.in,Si,15,8 8 8,Si.bhs
Si_ecut15_k888_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,8 8 8,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k888_Si.rel-pbe-rrkj.in,Si,15,8 8 8,Si.rel-pbe-rrkj
Si_ecut15_k999_Si.bhs.in,Si,15,9 9 9,Si.bhs
Si_ecut15_k999_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,9 9 9,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k999_Si.rel-pbe-rrkj.in,Si,15,9 9 9,Si.rel-pbe-rrkj
Si_ecut15_k101010_Si.bhs.in,Si,15,10 10 10,Si.bhs
Si_ecut15_k101010_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,10 10 10,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k101010_Si.rel-pbe-rrkj.in,Si,15,10 10 10,Si.rel-pbe-rrkj
Si_ecut15_k111111_Si.bhs.in,Si,15,11 11 11,Si.bhs
Si_ecut15_k111111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,11 11 11,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k111111_Si.rel-pbe-rrkj.in,Si,15,11 11 11,Si.rel-pbe-rrkj
Si_ecut15_k121212_Si.bhs.in,Si,15,12 12 12,Si.bhs
Si_ecut15_k121212_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,15,12 12 12,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut15_k121212_Si.rel-pbe-rrkj.in,Si,15,12 12 12,Si.rel-pbe-rrkj
Si_ecut20_k111_Si.bhs.in,Si,20,1 1 1,Si.bhs
Si_ecut20_k111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,1 1 1,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k111_Si.rel-pbe-rrkj.in,Si,20,1 1 1,Si.rel-pbe-rrkj
Si_ecut20_k222_Si.bhs.in,Si,20,2 2 2,Si.bhs
Si_ecut20_k222_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,2 2 2,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k222_Si.rel-pbe-rrkj.in,Si,20,2 2 2,Si.rel-pbe-rrkj
Si_ecut20_k333_Si.bhs.in,Si,20,3 3 3,Si.bhs
Si_ecut20_k333_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,3 3 3,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k333_Si.rel-pbe-rrkj.in,Si,20,3 3 3,Si.rel-pbe-rrkj
Si_ecut20_k444_Si.bhs.in,Si,20,4 4 4,Si.bhs
Si_ecut20_k444_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,4 4 4,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k444_Si.rel-pbe-rrkj.in,Si,20,4 4 4,Si.rel-pbe-rrkj
Si_ecut20_k555_Si.bhs.in,Si,20,5 5 5,Si.bhs
Si_ecut20_k555_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,5 5 5,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k555_Si.rel-pbe-rrkj.in,Si,20,5 5 5,Si.rel-pbe-rrkj
Si_ecut20_k666_Si.bhs.in,Si,20,6 6 6,Si.bhs
Si_ecut20_k666_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,6 6 6,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k666_Si.rel-pbe-rrkj.in,Si,20,6 6 6,Si.rel-pbe-rrkj
Si_ecut20_k777_Si.bhs.in,Si,20,7 7 7,Si.bhs
Si_ecut20_k777_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,7 7 7,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k777_Si.rel-pbe-rrkj.in,Si,20,7 7 7,Si.rel-pbe-rrkj
Si_ecut20_k888_Si.bhs.in,Si,20,8 8 8,Si.bhs
Si_ecut20_k888_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,8 8 8,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k888_Si.rel-pbe-rrkj.in,Si,20,8 8 8,Si.rel-pbe-rrkj
Si_ecut20_k999_Si.bhs.in,Si,20,9 9 9,Si.bhs
Si_ecut20_k999_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,9 9 9,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k999_Si.rel-pbe-rrkj.in,Si,20,9 9 9,Si.rel-pbe-rrkj
Si_ecut20_k101010_Si.bhs.in,Si,20,10 10 10,Si.bhs
Si_ecut20_k101010_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,10 10 10,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k101010_Si.rel-pbe-rrkj.in,Si,20,10 10 10,Si.rel-pbe-rrkj
Si_ecut20_k111111_Si.bhs.in,Si,20,11 11 11,Si.bhs
Si_ecut20_k111111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,11 11 11,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k111111_Si.rel-pbe-rrkj.in,Si,20,11 11 11,Si.rel-pbe-rrkj
Si_ecut20_k121212_Si.bhs.in,Si,20,12 12 12,Si.bhs
Si_ecut20_k121212_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,20,12 12 12,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut20_k121212_Si.rel-pbe-rrkj.in,Si,20,12 12 12,Si.rel-pbe-rrkj
Si_ecut25_k111_Si.bhs.in,Si,25,1 1 1,Si.bhs
Si_ecut25_k111_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,1 1 1,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k111_Si.rel-pbe-rrkj.in,Si,25,1 1 1,Si.rel-pbe-rrkj
Si_ecut25_k222_Si.bhs.in,Si,25,2 2 2,Si.bhs
Si_ecut25_k222_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,2 2 2,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k222_Si.rel-pbe-rrkj.in,Si,25,2 2 2,Si.rel-pbe-rrkj
Si_ecut25_k333_Si.bhs.in,Si,25,3 3 3,Si.bhs
Si_ecut25_k333_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,3 3 3,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k333_Si.rel-pbe-rrkj.in,Si,25,3 3 3,Si.rel-pbe-rrkj
Si_ecut25_k444_Si.bhs.in,Si,25,4 4 4,Si.bhs
Si_ecut25_k444_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,4 4 4,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k444_Si.rel-pbe-rrkj.in,Si,25,4 4 4,Si.rel-pbe-rrkj
Si_ecut25_k555_Si.bhs.in,Si,25,5 5 5,Si.bhs
Si_ecut25_k555_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,5 5 5,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k555_Si.rel-pbe-rrkj.in,Si,25,5 5 5,Si.rel-pbe-rrkj
Si_ecut25_k666_Si.bhs.in,Si,25,6 6 6,Si.bhs
Si_ecut25_k666_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,6 6 6,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k666_Si.rel-pbe-rrkj.in,Si,25,6 6 6,Si.rel-pbe-rrkj
Si_ecut25_k777_Si.bhs.in,Si,25,7 7 7,Si.bhs
Si_ecut25_k777_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,7 7 7,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k777_Si.rel-pbe-rrkj.in,Si,25,7 7 7,Si.rel-pbe-rrkj
Si_ecut25_k888_Si.bhs.in,Si,25,8 8 8,Si.bhs
Si_ecut25_k888_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,8 8 8,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k888_Si.rel-pbe-rrkj.in,Si,25,8 8 8,Si.rel-pbe-rrkj
Si_ecut25_k999_Si.bhs.in,Si,25,9 9 9,Si.bhs
Si_ecut25_k999_Si.pbe-nl-rrkjus_psl.1.0.0.in,Si,25,9 9 9,Si.pbe-nl-rrkjus_psl.1.0.0
Si_ecut25_k999_Si.rel-pbe-rrkj.in,Si,25,9 9 9,Si.rel-pbe-rrkj
Si_ecut25_k101010_Si.bhs.in,Si,25,10 10 10,Si.bhs
