Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Al_ecut10_k111_Al.pbe-n-kjpaw_psl.1.0.0.UPF.in,Al,10,1 1 1,Al.pbe-n-kjpaw_psl.1.0.0.UPF,-39.22621919
Al_ecut10_k111_Al.pbe-nl-kjpaw_psl.1.0.0.UPF.in,Al,10,1 1 1,Al.pbe-nl-kjpaw_psl.1.0.0.UPF,-39.21547655
Al_ecut10_k111_Al.pbe-nl-rrkjus_psl.1.0.0.UPF.in,Al,10,1 1 1,Al.pbe-nl-rrkjus_psl.1.0.0.UPF,-4.75322774
Al_ecut10_k222_Al.pbe-n-kjpaw_psl.1.0.0.UPF.in,Al,10,2 2 2,Al.pbe-n-kjpaw_psl.1.0.0.UPF,-39.55048057
Al_ecut10_k222_Al.pbe-nl-kjpaw_psl.1.0.0.UPF.in,Al,10,2 2 2,Al.pbe-nl-kjpaw_psl.1.0.0.UPF,-39.55020527
Al_ecut10_k222_Al.pbe-nl-rrkjus_psl.1.0.0.UPF.in,Al,10,2 2 2,Al.pbe-nl-rrkjus_psl.1.0.0.UPF,-5.08633985
Al_ecut10_k333_Al.pbe-n-kjpaw_psl.1.0.0.UPF.in,Al,10,3 3 3,Al.pbe-n-kjpaw_psl.1.0.0.UPF,-39.45822845
Al_ecut10_k333_Al.pbe-nl-kjpaw_psl.1.0.0.UPF.in,Al,10,3 3 3,Al.pbe-nl-kjpaw_psl.1.0.0.UPF,-39.45759525
Al_ecut10_k333_Al.pbe-nl-rrkjus_psl.1.0.0.UPF.in,Al,10,3 3 3,Al.pbe-nl-rrkjus_psl.1.0.0.UPF,-4.9937462
Al_ecut10_k444_Al.pbe-n-kjpaw_psl.1.0.0.UPF.in,Al,10,4 4 4,Al.pbe-n-kjpaw_psl.1.0.0.UPF,-39.47880701
Al_ecut10_k444_Al.pbe-nl-kjpaw_psl.1.0.0.UPF.in,Al,10,4 4 4,Al.pbe-nl-kjpaw_psl.1.0.0.UPF,-39.47815267
Al_ecut10_k444_Al.pbe-nl-rrkjus_psl.1.0.0.UPF.in,Al,10,4 4 4,Al.pbe-nl-rrkjus_psl.1.0.0.UPF,-5.01424679
Al_ecut10_k555_Al.pbe-n-kjpaw_psl.1.0.0.UPF.in,Al,10,5 5 5,Al.pbe-n-kjpaw_psl.1.0.0.UPF,-39.49540099
Al_ecut10_k555_Al.pbe-nl-kjpaw_psl.1.0.0.UPF.in,Al,10,5 5 5,Al.pbe-nl-kjpaw_psl.1.0.0.UPF,-39.49473724
