Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Au_ecut10_k111_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,10,1 1 1,Au.pbe-n-kjpaw_psl.1.0.0,-774.56901623
Au_ecut10_k111_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,10,1 1 1,Au.pbe-n-rrkjus_psl.1.0.0,-84.84562995
Au_ecut10_k111_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,10,1 1 1,Au.pbesol-n-kjpaw_psl.1.0.0,-763.87768308
Au_ecut10_k111_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,10,1 1 1,Au.pbesol-n-rrkjus_psl.1.0.0,-84.65277909
Au_ecut10_k222_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,10,2 2 2,Au.pbe-n-kjpaw_psl.1.0.0,-773.3779454
Au_ecut10_k222_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,10,2 2 2,Au.pbe-n-rrkjus_psl.1.0.0,-83.6766482
Au_ecut10_k222_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,10,2 2 2,Au.pbesol-n-kjpaw_psl.1.0.0,-762.65536593
Au_ecut10_k222_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,10,2 2 2,Au.pbesol-n-rrkjus_psl.1.0.0,-83.48315589
Au_ecut10_k333_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,10,3 3 3,Au.pbe-n-kjpaw_psl.1.0.0,-773.43009818
Au_ecut10_k333_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,10,3 3 3,Au.pbe-n-rrkjus_psl.1.0.0,-83.72886112
Au_ecut10_k333_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,10,3 3 3,Au.pbesol-n-kjpaw_psl.1.0.0,-762.9488988
Au_ecut10_k333_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,10,3 3 3,Au.pbesol-n-rrkjus_psl.1.0.0,-83.52683607
Au_ecut10_k444_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,10,4 4 4,Au.pbe-n-kjpaw_psl.1.0.0,-773.37592072
Au_ecut10_k444_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,10,4 4 4,Au.pbe-n-rrkjus_psl.1.0.0,-83.6749992
Au_ecut10_k444_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,10,4 4 4,Au.pbesol-n-kjpaw_psl.1.0.0,-762.89952473
Au_ecut10_k444_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,10,4 4 4,Au.pbesol-n-rrkjus_psl.1.0.0,-83.47673522
Au_ecut10_k555_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,10,5 5 5,Au.pbe-n-kjpaw_psl.1.0.0,-773.51622875
Au_ecut10_k555_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,10,5 5 5,Au.pbe-n-rrkjus_psl.1.0.0,-83.81196808
Au_ecut10_k555_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,10,5 5 5,Au.pbesol-n-kjpaw_psl.1.0.0,-763.03649664
Au_ecut10_k555_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,10,5 5 5,Au.pbesol-n-rrkjus_psl.1.0.0,-83.6126495
Au_ecut10_k666_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,10,6 6 6,Au.pbe-n-kjpaw_psl.1.0.0,-773.47254348
Au_ecut10_k666_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,10,6 6 6,Au.pbe-n-rrkjus_psl.1.0.0,-83.76819318
