Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Cu_ecut10_k111_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,1 1 1,Cu.pbe-dn-kjpaw_psl.1.0.0,-202.32200673
Cu_ecut10_k111_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,1 1 1,Cu.pbe-dn-rrkjus_psl.1.0.0,-111.9519126
Cu_ecut10_k111_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,1 1 1,Cu.pbesol-dn-kjpaw_psl.1.0.0,-199.61173325
Cu_ecut10_k111_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,1 1 1,Cu.pbesol-dn-rrkjus_psl.1.0.0,-111.58876283
Cu_ecut10_k222_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,2 2 2,Cu.pbe-dn-kjpaw_psl.1.0.0,-192.79887512
Cu_ecut10_k222_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,2 2 2,Cu.pbe-dn-rrkjus_psl.1.0.0,-102.77999744
Cu_ecut10_k222_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,2 2 2,Cu.pbesol-dn-kjpaw_psl.1.0.0,-190.16913951
Cu_ecut10_k222_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,2 2 2,Cu.pbesol-dn-rrkjus_psl.1.0.0,-102.50118627
Cu_ecut10_k333_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,3 3 3,Cu.pbe-dn-kjpaw_psl.1.0.0,-193.79578591
Cu_ecut10_k333_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,3 3 3,Cu.pbe-dn-rrkjus_psl.1.0.0,-103.67801678
Cu_ecut10_k333_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,3 3 3,Cu.pbesol-dn-kjpaw_psl.1.0.0,-191.24825389
Cu_ecut10_k333_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,3 3 3,Cu.pbesol-dn-rrkjus_psl.1.0.0,-103.47646725
Cu_ecut10_k444_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,4 4 4,Cu.pbe-dn-kjpaw_psl.1.0.0,-193.63442165
Cu_ecut10_k444_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,4 4 4,Cu.pbe-dn-rrkjus_psl.1.0.0,-103.54030693
Cu_ecut10_k444_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,4 4 4,Cu.pbesol-dn-kjpaw_psl.1.0.0,-191.11325597
Cu_ecut10_k444_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,4 4 4,Cu.pbesol-dn-rrkjus_psl.1.0.0,-103.36154851
Cu_ecut10_k555_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,5 5 5,Cu.pbe-dn-kjpaw_psl.1.0.0,-193.4510441
Cu_ecut10_k555_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,5 5 5,Cu.pbe-dn-rrkjus_psl.1.0.0,-103.3340876
Cu_ecut10_k555_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,5 5 5,Cu.pbesol-dn-kjpaw_psl.1.0.0,-191.00956489
Cu_ecut10_k555_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,5 5 5,Cu.pbesol-dn-rrkjus_psl.1.0.0,-103.23340308
Cu_ecut10_k666_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,6 6 6,Cu.pbe-dn-kjpaw_psl.1.0.0,-194.02582794
Cu_ecut10_k666_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,6 6 6,Cu.pbe-dn-rrkjus_psl.1.0.0,-103.91202706
Cu_ecut10_k666_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,6 6 6,Cu.pbesol-dn-kjpaw_psl.1.0.0,-191.48629609
Cu_ecut10_k666_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,6 6 6,Cu.pbesol-dn-rrkjus_psl.1.0.0,-103.71733077
Cu_ecut10_k777_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,10,7 7 7,Cu.pbe-dn-kjpaw_psl.1.0.0,-193.35313675
Cu_ecut10_k777_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,10,7 7 7,Cu.pbe-dn-rrkjus_psl.1.0.0,-103.25376125
Cu_ecut10_k777_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,10,7 7 7,Cu.pbesol-dn-kjpaw_psl.1.0.0,-190.82309169
Cu_ecut10_k777_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,10,7 7 7,Cu.pbesol-dn-rrkjus_psl.1.0.0,-103.06833004
