Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Fr_ecut10_k111_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,1 1 1,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k111_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,1 1 1,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k111_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,1 1 1,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k111_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,1 1 1,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k222_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,2 2 2,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k222_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,2 2 2,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k222_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,2 2 2,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k222_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,2 2 2,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k333_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,3 3 3,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k333_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,3 3 3,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k333_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,3 3 3,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k333_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,3 3 3,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k444_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,4 4 4,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k444_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,4 4 4,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k444_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,4 4 4,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k444_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,4 4 4,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k555_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,5 5 5,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k555_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,5 5 5,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k555_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,5 5 5,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k555_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,5 5 5,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k666_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,6 6 6,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k666_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,6 6 6,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k666_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,6 6 6,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k666_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,6 6 6,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k777_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,7 7 7,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k777_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,7 7 7,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k777_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,7 7 7,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k777_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,7 7 7,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k888_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,8 8 8,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k888_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,8 8 8,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k888_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,8 8 8,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k888_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,8 8 8,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k999_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,9 9 9,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k999_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,9 9 9,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k999_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,9 9 9,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k999_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,9 9 9,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k101010_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,10 10 10,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k101010_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,10 10 10,Fr.pbe-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k101010_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,10,10 10 10,Fr.pz-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k101010_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,10,10 10 10,Fr.pz-spdn-rrkjus_psl.1.0.0,
Fr_ecut10_k111111_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,10,11 11 11,Fr.pbe-spdn-kjpaw_psl.1.0.0,
Fr_ecut10_k111111_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,10,11 11 11,Fr.pbe-spdn-rrkjus_psl.1.0.0,
