Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
K_ecut10_k111_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,1 1 1,K.pbe-spn-kjpaw_psl.1.0.0,-111.51253187
K_ecut10_k111_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,1 1 1,K.pbe-spn-rrkjus_psl.1.0.0,-57.32280746
K_ecut10_k111_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,1 1 1,K.pz-spn-rrkjus_psl.1.0.0,-57.20164351
K_ecut10_k111_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,1 1 1,K.pz-spn-kjpaw_psl.1.0.0,-108.28020871
K_ecut10_k222_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,2 2 2,K.pbe-spn-kjpaw_psl.1.0.0,-111.5344352
K_ecut10_k222_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,2 2 2,K.pbe-spn-rrkjus_psl.1.0.0,-57.34064304
K_ecut10_k222_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,2 2 2,K.pz-spn-rrkjus_psl.1.0.0,-57.22189232
K_ecut10_k222_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,2 2 2,K.pz-spn-kjpaw_psl.1.0.0,-108.30460175
K_ecut10_k333_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,3 3 3,K.pbe-spn-kjpaw_psl.1.0.0,-111.47599721
K_ecut10_k333_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,3 3 3,K.pbe-spn-rrkjus_psl.1.0.0,-57.28526603
K_ecut10_k333_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,3 3 3,K.pz-spn-rrkjus_psl.1.0.0,-57.16460796
K_ecut10_k333_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,3 3 3,K.pz-spn-kjpaw_psl.1.0.0,-108.24419351
K_ecut10_k444_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,4 4 4,K.pbe-spn-kjpaw_psl.1.0.0,-111.50827507
K_ecut10_k444_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,4 4 4,K.pbe-spn-rrkjus_psl.1.0.0,-57.31624331
K_ecut10_k444_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,4 4 4,K.pz-spn-rrkjus_psl.1.0.0,-57.19512069
K_ecut10_k444_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,4 4 4,K.pz-spn-kjpaw_psl.1.0.0,-108.27601299
K_ecut10_k555_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,5 5 5,K.pbe-spn-kjpaw_psl.1.0.0,-111.51595554
K_ecut10_k555_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,5 5 5,K.pbe-spn-rrkjus_psl.1.0.0,-57.32371366
K_ecut10_k555_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,5 5 5,K.pz-spn-rrkjus_psl.1.0.0,-57.2025724
K_ecut10_k555_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,5 5 5,K.pz-spn-kjpaw_psl.1.0.0,-108.28370885
K_ecut10_k666_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,6 6 6,K.pbe-spn-kjpaw_psl.1.0.0,-111.51033933
K_ecut10_k666_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,6 6 6,K.pbe-spn-rrkjus_psl.1.0.0,-57.31829999
K_ecut10_k666_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,6 6 6,K.pz-spn-rrkjus_psl.1.0.0,-57.19725994
K_ecut10_k666_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,6 6 6,K.pz-spn-kjpaw_psl.1.0.0,-108.27806336
K_ecut10_k777_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,7 7 7,K.pbe-spn-kjpaw_psl.1.0.0,-111.51121048
K_ecut10_k777_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,7 7 7,K.pbe-spn-rrkjus_psl.1.0.0,-57.3191591
K_ecut10_k777_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,7 7 7,K.pz-spn-rrkjus_psl.1.0.0,-57.19805778
K_ecut10_k777_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,7 7 7,K.pz-spn-kjpaw_psl.1.0.0,-108.27899274
K_ecut10_k888_K.pbe-spn-kjpaw_psl.1.0.0.in,K,10,8 8 8,K.pbe-spn-kjpaw_psl.1.0.0,-111.51262909
K_ecut10_k888_K.pbe-spn-rrkjus_psl.1.0.0.in,K,10,8 8 8,K.pbe-spn-rrkjus_psl.1.0.0,-57.32057447
K_ecut10_k888_K.pz-spn-rrkjus_psl.1.0.0.in,K,10,8 8 8,K.pz-spn-rrkjus_psl.1.0.0,-57.19943013
K_ecut10_k888_K.pz-spn-kjpaw_psl.1.0.0.in,K,10,8 8 8,K.pz-spn-kjpaw_psl.1.0.0,-108.28034712
