Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Ni_ecut10_k111_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,10,1 1 1,Ni.pbesol-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k111_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,10,1 1 1,Ni.pbesol-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k111_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,10,1 1 1,Ni.pbe-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k111_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,10,1 1 1,Ni.pbe-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k222_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,10,2 2 2,Ni.pbesol-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k222_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,10,2 2 2,Ni.pbesol-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k222_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,10,2 2 2,Ni.pbe-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k222_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,10,2 2 2,Ni.pbe-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k333_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,10,3 3 3,Ni.pbesol-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k333_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,10,3 3 3,Ni.pbesol-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k333_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,10,3 3 3,Ni.pbe-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k333_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,10,3 3 3,Ni.pbe-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k444_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,10,4 4 4,Ni.pbesol-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k444_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,10,4 4 4,Ni.pbesol-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k444_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,10,4 4 4,Ni.pbe-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k444_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,10,4 4 4,Ni.pbe-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k555_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,10,5 5 5,Ni.pbesol-spn-kjpaw_psl.1.0.0,no converge
Ni_ecut10_k555_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,10,5 5 5,Ni.pbesol-spn-rrkjus_psl.1.0.0,no converge
Ni_ecut10_k555_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,10,5 5 5,Ni.pbe-spn-kjpaw_psl.1.0.0,no converge
